name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Bart Aernouts,1,1,1,34,PRO,32,---,BEL,---,3500,---,1.9 km,00:01:05,01:55:14,90.1 km,00:00:56,01:14:00,21.1 km,03:11:15
Ruedi Wild,2,2,2,10,PRO,34,---,CHE,---,3478,---,1.9 km,00:01:10,01:58:21,90.1 km,00:00:53,01:12:02,21.1 km,03:12:26
James Cunnama,3,3,3,8,PRO,33,Intl State,ZAF,---,3452,---,1.9 km,00:01:05,01:58:07,90.1 km,00:00:41,01:14:01,21.1 km,03:13:54
David Plese,4,4,4,7,PRO,33,Intl State,SVN,---,3425,---,1.9 km,00:01:13,01:57:57,90.1 km,00:00:48,01:15:26,21.1 km,03:15:24
Brent Mcmahon,5,5,5,32,PRO,36,BC,CAN,---,3421,---,1.9 km,00:01:05,01:57:30,90.1 km,00:00:48,01:16:15,21.1 km,03:15:38
Antony Costes,6,6,6,27,PRO,26,---,FRA,---,3416,---,1.9 km,00:01:07,01:58:00,90.1 km,00:00:41,01:16:04,21.1 km,03:15:52
Christian Hoerper,7,7,7,14,PRO,29,DE,DEU,---,3382,---,1.9 km,00:01:10,01:59:49,90.1 km,00:00:50,01:15:58,21.1 km,03:17:47
Albert Moreno Molins,8,8,8,21,PRO,26,ES,ESP,---,3367,---,1.9 km,00:01:05,02:01:55,90.1 km,00:00:54,01:14:42,21.1 km,03:18:36
Bertrand Billard,9,9,9,26,PRO,29,---,FRA,---,3366,---,1.9 km,00:01:08,01:59:24,90.1 km,00:01:01,01:17:08,21.1 km,03:18:41
Domenico Passuello,10,10,10,25,PRO,38,Intl State,ITA,---,3357,---,1.9 km,00:01:21,01:58:22,90.1 km,00:00:59,01:18:28,21.1 km,03:19:10
Patrick Dirksmeier,11,11,11,28,PRO,32,DE,DEU,---,3317,---,1.9 km,00:01:03,01:59:53,90.1 km,00:00:59,01:19:28,21.1 km,03:21:23
Ben Hoffman,12,12,12,6,PRO,33,CO,USA,---,3289,---,1.9 km,00:01:08,02:02:56,90.1 km,00:00:51,01:18:01,21.1 km,03:22:56
Olivier Godart,13,13,13,17,PRO,41,DXB,LUX,---,3277,---,1.9 km,00:01:07,02:01:43,90.1 km,00:01:12,01:19:34,21.1 km,03:23:36
Richie Cunningham,14,14,14,11,PRO,43,CO,AUS,---,3260,---,1.9 km,00:01:09,01:59:03,90.1 km,00:00:39,01:23:41,21.1 km,03:24:32
Daniela Ryf,1,1,15,51,PRO,29,---,CHE,---,3500,---,1.9 km,00:01:11,02:07:28,90.1 km,00:00:53,01:18:48,21.1 km,03:28:20
Kacper Adam,15,15,16,22,PRO,24,Poland,POL,---,3162,---,1.9 km,00:01:09,02:02:30,90.1 km,00:00:51,01:25:29,21.1 km,03:29:59
