name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Oscar Galindez,1,1,1,11,PRO,45,Intl State,ARG,---,3500,00:22:07,1.9 km,00:02:22,02:15:52,90.1 km,00:01:35,01:16:35,21.1 km,03:58:31
Bevan Docherty,2,2,2,1,PRO,39,CA,NZL,---,3471,00:20:18,1.9 km,00:02:06,02:20:25,90.1 km,00:01:28,01:15:48,21.1 km,04:00:05
Richie Cunningham,3,3,3,2,PRO,43,CO,AUS,---,3416,00:21:23,1.9 km,00:02:05,02:19:37,90.1 km,00:01:28,01:18:36,21.1 km,04:03:09
Dirk Bockel,4,4,4,4,PRO,39,FL,LUX,---,3409,00:20:16,1.9 km,00:02:11,02:20:39,90.1 km,00:01:30,01:18:58,21.1 km,04:03:34
Romain Guillaume,5,5,5,7,PRO,31,FR,FRA,---,3399,00:20:50,1.9 km,00:02:09,02:20:11,90.1 km,00:01:49,01:19:08,21.1 km,04:04:07
Igor Amorelli,6,6,6,22,PRO,31,Santa Catarina,BRA,---,3392,00:20:02,1.9 km,00:02:12,02:20:56,90.1 km,00:01:35,01:19:44,21.1 km,04:04:29
Trevor Wurtele,7,7,7,8,PRO,37,BC,CAN,---,3354,00:23:45,1.9 km,00:02:50,02:21:46,90.1 km,00:01:33,01:16:41,21.1 km,04:06:35
Alessandro Degasperi,8,8,8,12,PRO,35,Italy,ITA,---,3314,00:21:29,1.9 km,00:02:10,02:25:16,90.1 km,00:01:37,01:18:18,21.1 km,04:08:50
Felipe Van De Wyngard,9,9,9,25,PRO,35,Intl State,CHL,---,3307,00:21:10,1.9 km,00:02:29,02:25:52,90.1 km,00:01:43,01:17:58,21.1 km,04:09:12
Fraser Cartmell,10,10,10,10,PRO,34,Intl State,GBR,---,3258,00:20:27,1.9 km,00:02:03,02:25:54,90.1 km,00:01:43,01:21:50,21.1 km,04:11:57
Justin Daerr,11,11,11,13,PRO,35,CO,USA,---,3139,00:22:29,1.9 km,00:02:30,02:29:31,90.1 km,00:01:57,01:22:07,21.1 km,04:18:34
Balázs Csoke,12,12,12,9,PRO,33,TX,HUN,---,3131,00:20:26,1.9 km,00:02:15,02:35:01,90.1 km,00:01:59,01:19:18,21.1 km,04:18:59
Mauro Cavanha Conceigco,13,13,13,17,PRO,31,Intl State,BRA,---,3103,00:21:31,1.9 km,00:02:27,02:29:17,90.1 km,00:01:35,01:25:43,21.1 km,04:20:33
Brett Carter,14,14,14,21,PRO,35,---,AUS,---,3101,00:20:22,1.9 km,00:02:15,02:29:46,90.1 km,00:01:44,01:26:34,21.1 km,04:20:41
Heather Wurtele,1,1,15,32,PRO,37,BC,CAN,---,3500,00:22:14,1.9 km,00:02:22,02:31:20,90.1 km,00:01:42,01:23:44,21.1 km,04:21:22
Andres Castillo Latorre,15,15,16,19,PRO,33,---,COL,---,3083,00:21:26,1.9 km,00:02:34,02:33:42,90.1 km,00:01:52,01:22:07,21.1 km,04:21:41
Alfredo Trujano,16,1,17,700,35-39,38,---,PAN,---,3500,00:26:20,1.9 km,00:03:08,02:24:22,90.1 km,00:01:38,01:27:05,21.1 km,04:22:33
