name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Thomas Priglinger,2,1,2,1198,45-49,45,AT,AUT,---,3500,---,1.9 km,00:00:01,02:25:12,90.1 km,00:01:20,01:23:03,21.1 km,03:49:36
Matij Meden,3,1,3,31,18-24,23,---,SVN,---,3500,---,1.9 km,00:00:01,02:30:54,90.1 km,00:01:27,01:19:35,21.1 km,03:51:57
Dejan Patrcevic,4,1,4,1,40-44,40,Intl State,HRV,---,3500,---,1.9 km,00:00:01,02:26:48,90.1 km,00:01:27,01:24:48,21.1 km,03:53:04
Andrea Mauri,5,1,5,51,25-29,29,---,ITA,---,3500,---,1.9 km,00:00:01,02:29:36,90.1 km,00:01:16,01:24:03,21.1 km,03:54:56
Jakub Langhammer,6,2,6,25,18-24,24,CZE,CZE,---,3442,---,1.9 km,00:00:01,02:29:37,90.1 km,00:01:22,01:24:09,21.1 km,03:55:09
Luca Bertaccini,7,1,7,183,30-34,32,lazio,ITA,---,3500,---,1.9 km,00:00:01,02:36:04,90.1 km,00:01:28,01:20:17,21.1 km,03:57:50
Eduard Verstraete,8,2,8,76,25-29,26,BE,BEL,---,3441,---,1.9 km,00:00:01,02:27:38,90.1 km,00:01:36,01:28:56,21.1 km,03:58:11
Lowie Dewitte,9,3,9,7,18-24,25,BE,BEL,---,3339,---,1.9 km,00:00:01,02:27:56,90.1 km,00:01:19,01:31:36,21.1 km,04:00:52
Didzis Pilans,10,1,10,567,35-39,36,Ozolnieku novads,LVA,---,3500,---,1.9 km,00:00:01,02:29:11,90.1 km,00:01:57,01:29:58,21.1 km,04:01:07
Matteo Venzi,11,3,11,66,25-29,30,pistoia,ITA,---,3388,---,1.9 km,00:00:01,02:32:08,90.1 km,00:01:14,01:27:44,21.1 km,04:01:07
August Benedicto,12,2,12,182,30-34,32,---,PHL,---,3427,---,1.9 km,00:00:01,02:33:09,90.1 km,00:01:22,01:27:21,21.1 km,04:01:53
Kevin Orlandi,13,2,13,553,35-39,35,FR,FRA,---,3470,---,1.9 km,00:00:01,02:28:57,90.1 km,00:02:00,01:31:47,21.1 km,04:02:45
Antti Ilmari Piiroinen,14,3,14,324,30-34,33,Kymenlaakso,FIN,---,3396,---,1.9 km,00:00:01,02:30:56,90.1 km,00:01:55,01:30:43,21.1 km,04:03:35
Gavin Stuart,15,2,15,1005,40-44,44,---,AUS,---,3301,---,1.9 km,00:00:01,02:34:33,90.1 km,00:01:31,01:28:01,21.1 km,04:04:06
Thomas Braun,16,2,16,1063,45-49,47,---,DEU,---,3238,---,1.9 km,00:00:01,02:33:39,90.1 km,00:01:59,01:28:30,21.1 km,04:04:09
Martin Olsan,17,4,17,120,25-29,28,Czech republic,CZE,---,3332,---,1.9 km,00:00:01,02:37:27,90.1 km,00:01:50,01:24:57,21.1 km,04:04:15
Gianpiero Menza,18,5,18,143,25-29,30,ITALY,ITA,---,3322,---,1.9 km,00:00:01,02:37:37,90.1 km,00:01:28,01:25:41,21.1 km,04:04:47
Matej Paradiz,19,3,19,557,35-39,37,Intl State,SVN,---,3432,---,1.9 km,00:00:01,02:30:50,90.1 km,00:01:55,01:32:05,21.1 km,04:04:51
