name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Sian Abate,---,238,---,176,45-49,51,---,GBR,---,---,00:54:23,1.9 km,00:03:01,02:38:06,90.1 km,00:01:26,01:44:04,21.1 km,05:21:00
Sascha Abazari,---,---,DNS,386,30-34,37,---,DEU,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Shah Drummer Abd Razak,---,1091,---,725,35-39,41,SG,SGP,---,---,01:13:13,1.9 km,00:05:10,03:06:52,90.1 km,00:04:40,02:48:07,21.1 km,07:18:02
Mohd Faisal Abdullah,---,710,---,439,30-34,37,---,MYS,---,---,01:01:02,1.9 km,00:04:58,02:47:42,90.1 km,00:03:05,02:19:59,21.1 km,06:16:46
Jon Adair,---,---,DNF,648,40-44,44,---,GBR,---,---,00:50:20,1.9 km,00:03:18,02:25:05,90.1 km,00:02:19,---,21.1 km,DNF
Jeff Adams,---,316,---,585,30-34,39,VA,USA,---,---,00:56:05,1.9 km,00:05:38,02:36:16,90.1 km,00:03:11,01:49:12,21.1 km,05:30:22
Geoffrey Adamson,---,716,---,866,35-39,43,---,CAN,---,---,00:45:16,1.9 km,00:04:26,02:55:50,90.1 km,00:04:31,02:27:20,21.1 km,06:17:23
Juswil Adriani,---,1071,---,1317,45-49,51,---,MYS,---,---,01:08:52,1.9 km,00:05:35,03:16:13,90.1 km,00:02:54,02:36:54,21.1 km,07:10:28
Nathan Agnew,---,90,---,899,40-44,47,NH,AUS,---,---,00:42:58,1.9 km,00:03:15,02:30:02,90.1 km,00:01:15,01:37:54,21.1 km,04:55:24
Clement Ahiekpor,---,1160,---,539,30-34,39,"ID
java",FRA,---,---,01:04:43,1.9 km,00:07:46,03:19:50,90.1 km,00:09:33,03:09:25,21.1 km,07:51:17
Lydia Shenh Ai Tan,---,1142,---,1561,18-24,---,Singapore,MYS,---,---,00:53:31,1.9 km,00:03:04,02:46:26,90.1 km,00:01:39,03:56:24,21.1 km,07:41:04
Dughall Aitken,---,---,DNF,1199,40-44,48,---,GBR,---,---,00:38:43,1.9 km,00:03:06,02:17:42,90.1 km,00:01:24,---,21.1 km,DNF
Lisa Akeroyd,---,---,DNS,138,35-39,40,---,THA,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Tsumugi Akiba,---,120,---,417,30-34,39,---,JPN,---,---,00:44:23,1.9 km,00:03:44,02:23:16,90.1 km,00:01:14,01:49:33,21.1 km,05:02:10
Akmal Al Hamawi,---,813,---,1330,45-49,52,---,AUS,---,---,01:04:14,1.9 km,00:07:00,02:49:03,90.1 km,00:02:55,02:24:42,21.1 km,06:27:54
Ahmed Al-Awa,---,127,---,1082,40-44,47,---,GBR,---,---,00:50:52,1.9 km,00:03:34,02:23:19,90.1 km,00:02:20,01:42:59,21.1 km,05:03:04
Alex Albergaria,---,257,---,790,35-39,42,---,PRT,---,---,00:50:57,1.9 km,00:04:54,02:29:17,90.1 km,00:02:04,01:56:13,21.1 km,05:23:25
Daryl Albury,---,416,---,954,40-44,49,---,AUS,---,---,00:50:38,1.9 km,00:03:51,02:40:55,90.1 km,00:02:48,02:04:17,21.1 km,05:42:29
Francis Alcacer,---,---,DNF,1438,50-54,59,---,FRA,---,---,00:54:12,1.9 km,00:03:34,---,90.1 km,---,---,21.1 km,DNF
Colin Alexander,---,---,DNF,1465,50-54,59,---,GBR,---,---,01:03:14,1.9 km,00:05:20,03:26:56,90.1 km,---,---,21.1 km,DNF
Tanti Alexander,---,132,---,271,30-34,34,Tokyo,GRC,---,---,00:38:03,1.9 km,00:03:25,02:26:17,90.1 km,00:01:59,01:54:25,21.1 km,05:04:09
Mohammad Dzarrin Alidin,---,---,DNS,313,25-29,32,---,SGP,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Aloysius Ho Aloysius Ho Boon Chi,---,895,---,501,35-39,40,---,SGP,---,---,01:04:38,1.9 km,00:05:08,02:56:48,90.1 km,00:03:53,02:29:03,21.1 km,06:39:30
