name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Arno ¦krabanja,---,617,---,1055,50-54,60,NL,NLD,---,---,00:38:01,1.9 km,00:04:04,02:49:16,90.1 km,00:01:54,01:35:06,21.1 km,05:08:21
Klemens Ablasser,---,604,---,174,25-29,34,MA,AUT,---,---,00:43:41,1.9 km,00:02:47,02:37:28,90.1 km,00:01:41,01:42:16,21.1 km,05:07:53
Wolfgang Achrainer,---,63,---,439,30-34,37,AT,AUT,---,---,00:28:30,1.9 km,00:03:26,02:31:04,90.1 km,00:01:35,01:22:18,21.1 km,04:26:53
Markus Ackerl,---,1706,---,175,25-29,---,---,AUT,---,---,00:43:42,1.9 km,00:04:36,03:25:31,90.1 km,00:02:19,02:06:49,21.1 km,06:22:57
Mario Adam,---,456,---,440,30-34,37,AT,AUT,---,---,00:37:17,1.9 km,00:03:35,02:39:53,90.1 km,00:01:53,01:37:11,21.1 km,04:59:49
Veronika Adamcik,---,1622,---,1111,55-59,61,AT,AUT,---,---,00:51:37,1.9 km,00:04:40,03:08:34,90.1 km,00:02:09,02:03:11,21.1 km,06:10:11
Wael Adlouni,---,143,---,1142,35-39,43,---,DNK,---,---,00:30:44,1.9 km,00:04:01,02:38:14,90.1 km,00:02:35,01:23:44,21.1 km,04:39:18
Marc Ahrens,---,1726,---,1143,35-39,44,---,DEU,---,---,00:40:56,1.9 km,00:07:41,03:32:10,90.1 km,00:03:43,02:02:05,21.1 km,06:26:35
Michael Aicher,---,174,---,441,30-34,40,---,DEU,---,---,00:32:37,1.9 km,00:02:59,02:38:18,90.1 km,00:01:45,01:26:24,21.1 km,04:42:03
Costantinos Aidonidis,---,1840,---,1535,40-44,47,---,GRC,---,---,00:44:53,1.9 km,00:06:44,03:53:41,90.1 km,00:03:44,02:21:07,21.1 km,07:10:09
Florian Aigner,---,1563,---,1961,45-49,---,---,AUT,---,---,01:05:49,1.9 km,00:04:08,03:07:30,90.1 km,00:02:58,01:41:03,21.1 km,06:01:28
Walter Aigner,---,733,---,1536,40-44,1,Salzburg,AUT,---,---,00:41:44,1.9 km,00:03:45,02:47:13,90.1 km,00:03:28,01:37:49,21.1 km,05:13:59
Sonia Albanese,---,1559,---,778,30-34,---,TN,ITA,---,---,00:38:56,1.9 km,00:07:57,03:17:26,90.1 km,00:03:03,01:53:50,21.1 km,06:01:12
Marko Albert,---,4,---,36,PRO,37,Intl State,EST,---,---,00:23:18,1.9 km,00:02:07,02:16:21,90.1 km,00:01:05,01:13:35,21.1 km,03:56:26
Giorgio Alberti,---,352,---,1962,45-49,56,---,ITA,---,---,00:33:42,1.9 km,00:03:57,02:39:10,90.1 km,00:02:06,01:35:10,21.1 km,04:54:05
Maurizio Alberti,---,1120,---,972,50-54,---,BZ,ITA,---,---,00:42:30,1.9 km,00:06:17,02:51:02,90.1 km,00:04:04,01:48:28,21.1 km,05:32:21
Geronazzo Alberto,---,1408,---,1144,35-39,---,TV,ITA,---,---,00:37:50,1.9 km,00:05:59,03:01:20,90.1 km,00:02:49,02:01:41,21.1 km,05:49:39
Donald Albrecht,---,266,---,1963,45-49,51,CH,CHE,---,---,00:36:03,1.9 km,00:04:03,02:35:52,90.1 km,00:02:20,01:30:42,21.1 km,04:49:00
Alice Albrow,---,1798,---,793,30-34,---,---,GBR,---,---,00:35:26,1.9 km,00:06:31,03:54:07,90.1 km,00:02:44,02:07:30,21.1 km,06:46:18
Paul Albrow,---,1206,---,442,30-34,---,---,GBR,---,---,00:39:02,1.9 km,00:04:40,03:01:01,90.1 km,00:03:39,01:48:20,21.1 km,05:36:42
Jörg Alex,---,952,---,1964,45-49,53,---,DEU,---,---,00:37:01,1.9 km,00:06:47,02:55:27,90.1 km,00:01:52,01:43:03,21.1 km,05:24:10
Sven Alex,---,856,---,87,18-24,25,DE,DEU,---,---,00:35:48,1.9 km,00:04:31,02:48:28,90.1 km,00:02:28,01:48:25,21.1 km,05:19:40
Christophe Allaman,---,570,---,1145,35-39,---,Genève,CHE,---,---,00:33:53,1.9 km,00:04:06,02:39:10,90.1 km,00:03:55,01:44:53,21.1 km,05:05:57
Tobias Alt,---,651,---,176,25-29,34,DE,DEU,---,---,00:34:39,1.9 km,00:03:49,02:46:46,90.1 km,00:01:39,01:42:52,21.1 km,05:09:45
Othmar Altmann,---,390,---,1965,45-49,---,Kärnten / Carinthia,AUT,---,---,00:35:50,1.9 km,00:04:36,02:38:58,90.1 km,00:02:10,01:35:01,21.1 km,04:56:35
Ibrahim Aly,---,1019,---,438,18-24,---,---,AUT,---,---,00:42:14,1.9 km,00:04:40,02:55:12,90.1 km,00:03:00,01:41:55,21.1 km,05:27:01
Huber Amadé,---,155,---,1537,40-44,---,Valais / Wallis,CHE,---,---,00:34:28,1.9 km,00:03:57,02:34:17,90.1 km,00:02:20,01:25:30,21.1 km,04:40:32
Michael Amerhauser,---,541,---,177,25-29,---,Salzburg,AUT,---,---,00:33:12,1.9 km,00:04:18,02:44:14,90.1 km,00:02:13,01:40:45,21.1 km,05:04:42
