name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Braden Currie,1,1,1,5,PRO,30,---,NZL,---,3500,00:24:34,1.9 km,00:03:08,02:08:29,90.1 km,00:00:55,01:14:42,21.1 km,03:51:48
Callum Millward,2,2,2,7,PRO,33,QLD,NZL,---,3485,00:24:38,1.9 km,00:03:19,02:08:17,90.1 km,00:01:07,01:15:17,21.1 km,03:52:38
Dylan Mcneice,3,3,3,4,PRO,31,---,NZL,---,3392,00:23:43,1.9 km,00:03:30,02:09:00,90.1 km,00:01:07,01:20:28,21.1 km,03:57:48
Graham O'Grady,4,4,4,6,PRO,34,---,NZL,---,3293,00:23:51,1.9 km,00:03:11,02:09:13,90.1 km,00:01:13,01:25:47,21.1 km,04:03:15
Dougal Allan,5,5,5,10,PRO,31,---,NZL,---,3287,00:29:14,1.9 km,00:03:18,02:11:30,90.1 km,00:01:07,01:18:27,21.1 km,04:03:36
Matt Franklin,6,6,6,8,PRO,23,NZ,NZL,---,3275,00:23:50,1.9 km,00:03:25,02:08:57,90.1 km,00:01:07,01:26:59,21.1 km,04:04:18
Jai Davies-Campbell,7,7,7,12,PRO,25,---,NZL,---,3185,00:28:30,1.9 km,00:03:04,02:14:56,90.1 km,00:01:22,01:21:26,21.1 km,04:09:18
Sam Millar Clark,8,8,8,9,PRO,26,BOP,NZL,---,3175,00:29:03,1.9 km,00:03:15,02:14:07,90.1 km,00:01:21,01:22:05,21.1 km,04:09:51
Craig Savage,9,1,9,83,18-24,24,NZ,NZL,---,3500,00:25:50,1.9 km,00:04:13,02:16:42,90.1 km,00:01:10,01:22:50,21.1 km,04:10:45
Alexi Petrie,11,9,11,14,PRO,25,NZ,NZL,---,3088,00:25:40,1.9 km,00:03:09,02:16:21,90.1 km,00:01:30,01:28:00,21.1 km,04:14:40
Jason Hall,12,2,12,63,18-24,24,---,NZL,---,3416,00:26:09,1.9 km,00:03:41,02:24:40,90.1 km,00:01:22,01:19:32,21.1 km,04:15:24
Brett Tingay,13,1,13,423,35-39,36,---,NZL,---,3500,00:26:56,1.9 km,00:03:23,02:20:14,90.1 km,00:01:24,01:23:38,21.1 km,04:15:35
Bevan Littler,14,2,14,391,35-39,37,---,NZL,---,3487,00:28:11,1.9 km,00:04:37,02:23:15,90.1 km,00:01:32,01:18:42,21.1 km,04:16:17
Jake Jackson-Grammer,15,3,15,67,18-24,20,NZ,NZL,---,3386,00:29:15,1.9 km,00:03:17,02:17:58,90.1 km,00:01:14,01:25:18,21.1 km,04:17:02
Meredith Kessler,1,1,16,21,PRO,38,CA,USA,---,3500,00:25:57,1.9 km,00:03:48,02:23:31,90.1 km,00:01:24,01:22:51,21.1 km,04:17:31
Brodie Madgwick,16,3,17,394,35-39,38,---,NZL,---,3454,00:27:19,1.9 km,00:04:05,02:23:15,90.1 km,00:01:35,01:21:52,21.1 km,04:18:06
Amelia Watkinson,2,2,18,23,PRO,25,---,NZL,---,3487,00:27:05,1.9 km,00:03:42,02:24:47,90.1 km,00:01:10,01:21:28,21.1 km,04:18:12
Craig Kirkwood,17,1,19,553,40-44,41,---,NZL,---,3500,00:29:13,1.9 km,00:03:39,02:25:05,90.1 km,00:01:07,01:20:20,21.1 km,04:19:24
Laura Siddall,3,3,20,25,PRO,36,CA,GBR,---,3463,00:30:03,1.9 km,00:03:37,02:21:51,90.1 km,00:01:12,01:22:49,21.1 km,04:19:32
Michael Wetzel,18,10,21,18,PRO,32,DE,DEU,---,2998,00:29:15,1.9 km,00:03:22,02:21:37,90.1 km,00:01:27,01:24:00,21.1 km,04:19:41
Matt Randall,19,11,22,17,PRO,38,STL,NZL,---,2995,00:31:09,1.9 km,00:03:32,02:17:10,90.1 km,00:01:37,01:26:22,21.1 km,04:19:50
Cameron Paul,20,12,23,13,PRO,26,NZ,NZL,---,2994,00:27:58,1.9 km,00:03:30,02:18:39,90.1 km,00:01:32,01:28:14,21.1 km,04:19:53
Simon Cochrane,21,13,24,11,PRO,32,---,NZL,---,2994,00:26:40,1.9 km,00:03:32,02:26:44,90.1 km,00:01:34,01:21:24,21.1 km,04:19:54
Harry Edney,22,4,25,58,18-24,22,Devon,GBR,---,3307,00:26:12,1.9 km,00:03:45,02:20:25,90.1 km,00:01:27,01:29:37,21.1 km,04:21:26
Anthony Rule,23,1,26,275,30-34,32,QLD,AUS,---,3500,00:29:14,1.9 km,00:03:35,02:21:10,90.1 km,00:01:12,01:26:23,21.1 km,04:21:34
Bryan Rhodes,24,14,27,16,PRO,43,---,NZL,---,2959,00:25:39,1.9 km,00:03:31,02:20:20,90.1 km,00:01:03,01:31:18,21.1 km,04:21:51
Daryl Harding,25,1,28,127,25-29,30,---,NZL,---,3500,00:28:09,1.9 km,00:04:07,02:24:05,90.1 km,00:01:07,01:24:44,21.1 km,04:22:12
Josh Harrison,26,2,29,237,30-34,33,NZ,NZL,---,3470,00:33:17,1.9 km,00:03:37,02:17:17,90.1 km,00:01:09,01:27:51,21.1 km,04:23:11
Bevan Mckinnon,27,2,30,567,40-44,44,NZ,NZL,---,3420,00:28:19,1.9 km,00:04:14,02:20:17,90.1 km,00:02:00,01:28:59,21.1 km,04:23:49
Adam Wilson,28,3,31,295,30-34,34,---,NZL,---,3459,00:29:08,1.9 km,00:03:47,02:20:13,90.1 km,00:01:16,01:29:25,21.1 km,04:23:49
Tom Duncan,29,5,32,1033,18-24,24,NZ,NZL,---,3244,00:27:28,1.9 km,00:04:12,02:18:48,90.1 km,00:01:20,01:33:08,21.1 km,04:24:56
