Rank,Overall,Competitor,Country,Age_Category,Swim,Trans1,Bike,Trans2,Run,Finish,Comment
1,Richard Widmer,Germany,M1,2:08:05,-,12:18:23,-,8:07:03,22:33:29.7,,1
1,Mark Hohe-Dorst,Germany,M2,2:08:02,-,11:27:19,-,8:58:11,22:33:29.7,,3
3,Jens Schönbohm,Germany,M2,2:07:52,-,11:25:34,-,9:48:39,23:22:02.7,,4
4,Markus Launer,Germany,M2,2:21:27,-,12:54:46,-,8:43:08,23:59:19.5,,5
5,Oliver Giessmann,Germany,M2,2:23:26,-,11:48:27,-,9:55:27,24:07:17.3,,6
6,Martin Qvist,Denmark,M1,2:07:39,-,11:55:19,-,10:32:56,24:35:52.0,,7
7,Clemens Herbert,Germany,M1,2:51:51,-,13:21:10,-,9:14:37,25:27:37.1,,8
9,Per Laust Johansen,Germany,M2,2:36:54,-,12:16:43,-,10:36:42,25:30:17.9,,9
10,Arnold Wiegand ,Germany,M2,2:11:58,-,12:19:07,-,11:05:22,25:36:25.8,,10
11,Martin Hansel,Germany,M2,2:44:05,-,12:21:45,-,10:35:02,25:40:50.6,,11
12,"Stefan Thielen, ",Germany,M2,2:26:23,-,12:30:40,-,10:57:43,25:54:44.5,,12
13,Juan Carlos Martinez Guerra,EspaÃƒÂ±a,M2,2:23:38,-,12:57:20,-,11:18:06,26:39:02.9,,13
14,Jérôme Thiry,Belgium,M1,2:34:31,-,14:04:26,-,10:20:22,26:59:18.1,,14
15,Peter Knein,Germany,M2,2:15:27,-,14:25:59,-,10:57:52,27:39:16.9,,15
16,Matthias Tramm,Germany,M1,2:52:45,-,13:39:38,-,11:09:37,27:41:59.1,,16
17,Markus Weißberg,Germany,M2,1:59:21,-,13:55:43,-,12:16:54,28:11:56.5,,17
18,Beat Knechtle,Switzerland,M2,2:09:40,-,13:59:52,-,12:21:07,28:30:37.9,,18
19,"Lüftenegger, Norbert",Autriche,M1,2:39:01,-,15:18:13,-,10:38:11,28:35:22.9,,19
20,Torsten Kühn-Schad,Germany,M2,2:37:21,-,14:00:22,-,12:04:26,28:42:07.6,,20
21,Goulwenn Tristant ,France,M1,3:00:40,-,14:53:32,-,10:56:17,28:50:27.1,,21
22,Tristan Vinzent,Germany,M2,2:25:52,-,14:13:03,-,12:14:11,28:53:03.7,,22
23,Thorsten Nitsch,Germany,M2,2:36:55,-,14:16:18,-,12:09:42,29:02:53.9,,23
24,Michael Zarth,Germany,M2,2:34:53,-,13:40:44,-,12:51:44,29:07:19.4,,24
25,Werner Peters,Germany,M2,2:36:38,-,14:37:17,-,11:59:55,29:13:49.2,,25
26,Markus Sprengel ,Germany,M1,2:40:52,-,13:43:11,-,12:55:52,29:19:53.9,,26
27,Imre Morva,Germany,M2,2:27:06,-,14:31:39,-,12:42:18,29:41:01.1,,27
28,Tony Fisher,Great Britain,M3,3:04:29,-,14:54:21,-,12:13:24,30:12:13.2,,28
29,Holger Hölzel,Germany,M2,2:47:16,-,14:36:09,-,13:06:10,30:29:33.4,,29
30,Bernhard Nuss,Germany,M2,2:58:16,-,15:59:04,-,11:40:20,30:37:38.6,,30
31,Andreas Richter,Germany,M2,2:55:30,-,14:54:24,-,13:07:02,30:56:54.7,,31
32,Joachim Probst,France,M1,2:54:44,-,15:48:02,-,12:14:41,30:57:24.7,,32
33,Martijn Dresen,Netherlands,M1,2:33:38,-,14:28:45,-,13:55:45,30:58:06.9,,33
34,Tobias Kessler,Germany,M1,2:27:13,-,14:59:07,-,14:07:50,31:34:08.4,,34
35,Guido Bünker ,Germany,M2,2:17:36,-,16:56:05,-,12:40:45,31:54:25.6,,35
36,Stephan Mayer,Germany,M2,3:05:13,-,15:09:49,-,14:02:38,32:17:38.6,,36
37,Detlef Gräwe,Germany,M3,3:01:17,-,15:37:05,-,13:43:35,32:21:55.0,,37
38,Jürgen Zyla,Germany,M2,2:41:21,-,13:28:21,-,16:14:46,32:24:27.2,,38
39,Kevin Attard,Malta,M2,2:50:20,-,15:05:10,-,14:33:05,32:28:32.8,,39
40,Steffen Schelenz,Germany,M2,2:30:19,-,16:37:02,-,13:24:01,32:31:20.6,,40
41,Simon Abel,Germany,M2,2:52:25,-,15:53:15,-,14:03:20,32:48:58.4,,41
42,Heinz-Egon Jensen,Germany,M3,3:26:12,-,15:47:32,-,14:02:37,33:16:19.6,,42
44,Nils Lelitko,Germany,M1,2:30:23,-,17:18:16,-,13:52:17,33:40:54.7,,43
45,Stephan Kalisch,Germany,M2,2:46:12 vorm.,-,2:21:24 nachm.,-,04:47:36,,DNF,44
46,Frank Eickmann,Germany,M2,3:09:24 vorm.,-,4:18:09 nachm.,-,03:56:41,,DNF,45
47,Guy Rossi,France,M3,2:47:19 vorm.,-,4:55:15 nachm.,-,02:39:10,,DNF,46
48,Johannes Schmitz,Germany,M1,2:19:23 vorm.,-,12:53:27 nachm.,-,03:36:08,,DNF,47
49,Heiner Wenda-Wülfing,Germany,M2,2:20:54 vorm.,-,09:56:03,-,-,,DNF,48
50,Manfred Matschke ,Germany,M3,2:29:54 vorm.,-,03:13:19,-,-,,DNF,49
