Rank,Overall,Competitor,Country,Age_Category,Swim,Trans1,Bike,Trans2,Run,Finish,Comment
1,1,Rait Ratasepp ,EST,M1,2:42:46 ,00:04:30,11:43:19 ,00:10:56,07:36:26 ,22:17:56,--
2,2,Jozsef Rokob,HUN,M1,2:47:37 ,00:05:10,12:31:59 ,00:08:02,09:37:45 ,25:10:31,--
3,3,Konstantinos Zemadanis,GRE,M1,2:40:44 ,00:09:20,13:11:35 ,00:12:30,09:15:54 ,25:30:01,--
4,4,Fodor Gábor ,HUN,M1,3:16:02 ,00:08:48,14:10:48 ,00:10:45,09:30:14 ,27:16:35,--
5,8,Ferenc Sz?nyi,HUN,M2,3:07:21 ,00:04:52,11:52:52 ,00:04:05,12:41:52 ,27:51:00,--
6,9,Béres  Attila ,HUN,M2,2:26:22 ,00:05:12,14:48:09 ,00:12:42,10:37:56 ,28:10:18,--
7,10,Józsa Sanyi ,HUN,M2,3:07:17 ,00:08:38,15:56:12 ,00:21:45,09:43:38 ,29:17:29,--
8,11,Walter Wegschaider,AUT,M1,2:43:37 ,00:11:36,14:37:51 ,00:05:43,12:09:02 ,29:47:47,--
9,13,Manfred Matschke,GER,M3,2:47:01 ,00:14:18,13:18:11 ,00:05:42,14:10:22 ,30:35:32,--
10,14,Tamás Hegyesi,HUN,M2,3:23:09 ,00:08:03,16:00:20 ,00:20:54,11:25:23 ,31:17:48,--
11,16,Josep Flaque,ESP,M3,3:11:22 ,00:08:50,15:20:51 ,00:13:24,13:29:46 ,32:24:11,--
12,17,Mindum Károly,HUN,M2,3:08:39 ,00:11:53,14:18:38 ,00:01:31,15:48:53 ,33:29:32,--
13,18,Antal Zoltán,HUN,M1,3:24:30 ,00:07:13,14:16:27 ,00:04:48,15:37:11 ,33:30:07,--
14,19,Réthy Pál,HUN,M2,2:43:21 ,00:13:13,15:04:56 ,00:16:02,15:44:48 ,34:02:18,--
15,20,Ghislain Marechal,FRA,M2,2:34:05 ,00:05:08,13:07:59 ,00:18:55,18:11:52 ,34:17:58,--
16,21,Rossi Guy ,FRA,M3,2:55:40 ,00:10:50,16:42:53 ,00:10:31,15:23:49 ,35:23:41,--
17,22,Ress Attila ,HUN,M2,3:43:31 ,00:23:58,16:59:37 ,00:46:00,13:48:56 ,35:42:01,--
