Rank,Overall,Competitor,Country,Age_Category,Swim,Trans1,Bike,Trans2,Run,Finish,Comment
1,1,Cyril Jechoux,France,M1,02:03:54.90,,11:48:42.45,,09:06:26.28,22:59:03.63,--
2,3,Pawel Cioch,Poland,M1,02:46:29.23, ,12:29:18.21, ,09:41:19.45,24:57:06.89,--
3,4,Laurent Guinette,France,M1,02:32:01.61,,12:14:24.29,,10:52:13.21,25:38:39.11,--
4,5,Konstantinos Zemadanis,Greece,M1,02:35:46.46, ,13:00:08.41, ,10:20:21.07,25:56:15.94,--
5,6,Rodrigo Freeman,Brasil,M1,02:46:00.63,,13:32:34.10,,10:10:03.49,26:28:38.22,--
6,7,Zoran Grahovac,Croatia,M1,02:24:47.87, ,12:01:50.41, ,12:10:38.22,26:37:16.50,--
7,8,Kim Hansen,Denmark,M2,02:39:49.88,,12:01:53.85,,12:51:41.53,27:33:25.26,--
8,9,Fabrice Theobald,France,M2,03:10:01.09, ,13:51:11.56, ,10:38:28.68,27:39:41.33,--
9,10,Damian Lewandowski,Poland,M2,02:20:29.53,,12:48:36.52,,12:37:08.55,27:46:14.60,--
10,11,Henning Rosqvist,Denmark,M2,03:03:32.75, ,13:29:15.69, ,11:51:40.72,28:24:29.16,--
11,12,Manfred Matschke,Germany,M3,02:38:43.55,,13:05:58.82,,13:02:59.94,28:47:42.31,
12,13,Claudio Vasile,Romania,M1,02:49:48.94, ,15:11:17.16, ,12:25:50.34,30:26:56.44,National Record
13,14,GÃ¼nter Pilz,Austria,M2,02:30:50.92,,13:46:17.72,,15:31:48.25,31:48:56.89,--
14,15,Philipp Mayer,Austria,M2,04:05:25.66, ,14:48:39.12, ,13:31:12.63,32:25:17.41,--
15,16,�tefan Buzeti,Slovenia,M3,03:38:59.64,,15:18:34.93,,14:04:32.12,33:02:06.69,--
16,17,Peter Jelinek,Slovakia,M2,02:58:14.94, ,15:47:02.22, ,14:43:38.38,33:28:55.54,National Record
17,18,Vincenzo Catalano,Italia,M2,02:55:07.55,,16:20:36.12,,14:29:33.34,33:45:17.01,--
18,20,Josip Dikon,Croatia,M3,03:23:56.42, ,16:25:19.12, , ,DNF,--
19,22,Guy Rossi,France,M3,03:08:17.18,,,,,DNF,--
