Rank,Overall,Competitor,Country,Age_Category,Swim,Trans1,Bike,Trans2,Run,Finish,Comment
1,1,Juan Carlos Sagastume,Guatemala,M2,02:36:00,00:14:08,11:44:45,00:10:34,10:10:29,Â 24:55:56,--
2,3,Andres Villagran,Ecuador,M1,03:35:00,00:24:03,14:04:08,00:10:19,08:46:46,Â 27:00:16,--
3,5,Johan (Taz) Desmet,Belgium,M2,02:37:00,00:14:55,13:03:11,00:20:27,12:32:21,Â 28:47:54,--
4,6,Pascal Morin,Canada,M1,02:54:00,00:22:10,15:13:54,00:21:20,11:50:30,Â 30:41:54,--
5,9,John Lee,Korea,M2,04:44:00,00:22:44,14:31:32,00:22:13,13:19:01,Â 33:19:30,--
6,11,Erik Hanley,USA,M1,03:11:00,00:12:28,17:23:57,00:06:30,14:03:46,Â 34:57:41,--
7,12,Joey Lichter,USA,M1,03:05:00,00:19:01,16:02:40,00:25:57,15:24:45,Â     35:17:23,--
8,13,Michael Ortiz,USA,M1,03:42:00,00:37:36,18:17:35,00:45:04,11:56:36,Â 35:18:51,--
9,14,Goulwenn Tristant,France,M1,03:40:00,00:15:16,18:30:32,00:15:40,12:52:10,Â 35:33:39,--
10,15,Juan Valencia,Colombia,M1,01:56:00,00:11:07,11:07:37,00:18:22,02:56:09,DNF,Run 9/26 laps
11,16,Steve Hendricks,USA,M2,02:49:00,00:13:45,15:45:06,00:17:22,02:10:43,DNF,Run 5/26 laps
12,17,John Jenkins,USA,M1,03:02:00,00:18:03,08:08:51,DNF, ,DNF,Bike 24/37
13,18,Bob Abate,USA,M2,04:04:00,00:25:21,08:24:52,DNF, ,DNF,Bike 18/37
14,19,Bill Conway,USA,M2,02:07:00,00:09:50,07:53:01,DNF, ,DNF,Bike 17/37
