Rank,Overall,Competitor,Country,Age_Category,Swim,Trans1,Bike,Trans2,Run,Finish,Comment
1,1,Richard Widmer,GER,M21,03:18:04,00:04:05,17:11:46,00:01:19,12:30:02,33:05:16,--
2,2,Henning Olsrud,NOR,M40,03:40:01,00:11:13,20:35:26,00:02:23,15:04:55,39:33:58,--
3,3,Jozsef Rokob,HUN,M21,03:31:52,00:09:13,20:56:52,00:15:57,16:49:39,41:43:33,--
4,4,Matthias Schramm,GER,M21,03:26:35,00:07:29,21:51:52,00:16:32,17:03:17,42:45:45,--
5,5,Morten Hasselbalch,DEN,M40,03:58:58,00:07:27,20:35:26,00:05:54,18:07:44,42:55:29,--
6,6,Seppo Hiltunen,SWE,M21,04:05:08,00:15:02,20:09:53,00:19:23,18:10:15,42:59:41,--
7,7,Torsten Kühn-Schad,GER,M40,03:55:41,00:12:44,20:56:42,00:21:44,18:08:24,43:35:15,--
8,8,Norbert Lüftenegger,AUT,M21,04:03:19,00:06:27,24:01:18,00:06:25,16:35:10,44:52:39,--
9,9,Mark Hohe-Dorst,GER,M40,03:18:01,00:08:02,20:09:24,01:33:44,20:05:06,45:14:17,--
10,10,Tristan Vinzent,GER,M40,03:43:56,00:05:40,22:08:45,00:12:08,19:21:47,45:32:16,--
11,12,Laurent Guinette,FRA,M21,03:48:41,00:04:34,20:37:14,00:13:43,21:49:13,46:33:25,--
12,13,Beat Knechtle,SUI,M40,03:19:16,00:06:42,21:40:53,00:11:10,21:34:14,46:52:15,--
13,14,Daniel Meier,SUI,M40,03:28:21,00:20:43,21:22:42,00:15:19,22:56:02,48:23:07,--
13,14,Roland Patzina,GER,M40,03:49:17,00:05:37,25:22:22,00:02:13,19:03:38,48:23:07,--
15,16,Peter Knein,GER,M40,03:26:31,00:09:39,23:49:26,00:05:01,21:47:51,49:18:28,--
16,18,Goulwenn Tristant,FRA,M40,04:44:54,00:08:08,27:57:33,00:10:13,16:59:54,50:00:42,--
17,19,Andreas Richter (Bonn) ,GER,M40,04:22:47,00:10:05,24:00:21,00:28:35,20:59:55,50:01:43,--
18,21,Petri Hellberg,SWE,M40,03:31:04,00:05:27,21:17:36,00:02:47,25:16:50,50:13:44,--
19,22,Kari Martens,SWE,M40,04:31:00,00:07:40,20:52:57,00:10:49,24:42:59,50:25:25,--
20,23,Karoly Mindum,HUN,M40,04:39:24,00:19:48,23:03:55,00:16:53,22:45:12,51:05:12,--
21,24,Stephan Mayer,GER,M40,04:47:00,00:10:53,23:38:33,00:24:11,22:54:29,51:55:06,--
22,25,Antal Voeneki,HUN,M40,04:36:06,00:26:13,21:22:50,00:08:09,26:29:28,53:02:46,--
23,26,Lars Meier Jensen,DEN,M21,04:02:57,00:10:19,22:21:34,00:12:10,26:16:54,53:03:54,--
24,27,Emmanuel Seloi,FRA,M40,03:55:58,00:09:00,26:07:36,00:04:57,23:12:38,53:30:09,--
25,28,Manfred Matschke,GER,M60,03:56:28,00:07:29,23:45:20,00:10:22,25:41:57,53:41:36,--
26,29,Detlef Graewe,GER,M60,04:41:39,00:09:13,26:11:11,00:30:08,22:42:41,54:14:52,--
27,30,Andreas Richter (Hohenboc,GER,M40,04:21:34,00:12:31,24:54:01,00:01:52,24:55:45,54:25:43,--
28,31,Jens Caninenberg,GER,M40,03:47:29,00:08:03,25:17:55,00:11:06,25:41:50,55:06:23,--
29,32,Josep Flaque,ESP,M40,04:38:44,00:11:09,24:58:04,00:02:45,25:34:38,55:25:20,--
30,36,Tamas Hegyesi,HUN,M40,05:09:02,00:11:18,28:48:24,00:22:56,22:47:10,57:18:50,--
,,Philipp Mayer,AUT,M40,05:25:47,00:07:37,25:59:26,00:13:31,26:10:15,DNF,Complete 85 run laps on 96 stop by time limit
,,Martin Qvist,DEN,M21,03:16:06,00:02:01,20:39:44,,,DNF,Complete 30 run laps on 96
,,Desmond Kiernan,IRE,M40,04:02:19,00:20:59,,,,DNF,Complete 100 bike laps on 112
,,Walter Wegschaider,AUT,M21,03:56:12,00:08:56,,,,DNF,Complete 68 bike laps on 112
,,Pere Flaque,ESP,M60,05:54:15,00:13:55,,,,DNF,Complete 53 bike laps on 112
