Rank,Overall,Competitor,Country,Age_Category,Swim,Trans1,Bike,Trans2,Run,Finish,Comment
1,1,Kamil Suran,CZE,M1,04:11:40,--,22:56:40,--,21:00:02,48:08:23,--
2,2,Ferenc Sz?nyi,HUN,M2,05:02:06,--,21:42:05,--,21:53:13,48:37:25,--
3,3,Jozsef Rokob,HUN,M1,04:11:33,--,25:53:44,--,19:25:04,49:30:22,--
4,4,Patrick Esser,NLD,M1,03:27:44,--,25:30:41,--,25:38:15,54:36:40,--
5,5,Christian Kämmer,GER,M1,04:19:48,--,25:40:10,--,24:41:14,54:41:13,--
6,6,Konstantinos Zemadanis,GRC,M1,04:45:24,--,28:44:48,--,23:33:09,57:03:22,--
7,7,Rob Duddington,GBR,M2,03:26:28,--,27:30:47,--,26:17:45,57:15:00,--
8,8,Chris James,GBR,M2,04:15:45,--,29:46:35,--,23:19:33,57:21:54,--
9,9,Josep Flaque,ESP,M2,05:17:50,--,28:04:24,--,24:29:21,57:51:36,--
10,10,Robin Steacy,GBR,M1,04:48:05,--,28:38:05,--,26:00:11,59:26:21,--
--,--,Graham Smedley,GBR,M2,05:09:07,--,30:06:20,--,24:47:36,"
60:03:04
",Not ranked
--,--,Phil Binch,GBR,M2,03:39:52,--,29:42:46,--,27:41:49,61:04:29,Not ranked
--,--,Ghislain Marechal,FRA,M2,03:36:40,--,27:56:13,--,--,--,DNF
--,--,Manfred Matschke,GER,M3,04:21:13,--,29:37:14,--,--,--,DNF
--,--,Andrew Neil,GBR,M2,05:19:26,--,--,--,--,--,DNF
--,--,Pere Flaque,ESP,M3,06:06:27,--,--,--,--,--,DNF
--,--,Paul Dipankar,IND,M1,--,--,--,--,--,--,DNF
